chunk_index,attempt_rank,source,cost,retrieved_path,local_sha256,expected_sha256,verification,accepted
0,1,server_A,99.0,results/37_scheduling/received/chunk_0000_from_server_A.bin,3ceb7f578e129506f020b6af0759e82a0352497a5ed1d3495620a10a21d5d7ab,3ceb7f578e129506f020b6af0759e82a0352497a5ed1d3495620a10a21d5d7ab,PASS,True
1,1,server_A,99.0,results/37_scheduling/received/chunk_0001_from_server_A.bin,89f642f30b212a4a2bbb6436edb7a73f0faeeb9bece83fd57b0106433b7f46db,89f642f30b212a4a2bbb6436edb7a73f0faeeb9bece83fd57b0106433b7f46db,PASS,True
2,1,server_A,99.0,results/37_scheduling/received/chunk_0002_from_server_A.bin,8e64e82dd49c82f32be0b31dd3f705b2b3c08bea9c494c862094975ccb4cf94e,8e64e82dd49c82f32be0b31dd3f705b2b3c08bea9c494c862094975ccb4cf94e,PASS,True
3,1,server_A,99.0,results/37_scheduling/received/chunk_0003_from_server_A.bin,1592327ad5b857367bd7df67c6ef7ec89921ce103b752aece618533438a38f9f,1592327ad5b857367bd7df67c6ef7ec89921ce103b752aece618533438a38f9f,PASS,True
