chunk_index,path,size_bytes,sha256,content_id
0,results/37_scheduling/artifacts/chunk_0000.bin,1076,3ceb7f578e129506f020b6af0759e82a0352497a5ed1d3495620a10a21d5d7ab,sha256:3ceb7f578e129506f020b6af0759e82a0352497a5ed1d3495620a10a21d5d7ab
1,results/37_scheduling/artifacts/chunk_0001.bin,1076,89f642f30b212a4a2bbb6436edb7a73f0faeeb9bece83fd57b0106433b7f46db,sha256:89f642f30b212a4a2bbb6436edb7a73f0faeeb9bece83fd57b0106433b7f46db
2,results/37_scheduling/artifacts/chunk_0002.bin,1076,8e64e82dd49c82f32be0b31dd3f705b2b3c08bea9c494c862094975ccb4cf94e,sha256:8e64e82dd49c82f32be0b31dd3f705b2b3c08bea9c494c862094975ccb4cf94e
3,results/37_scheduling/artifacts/chunk_0003.bin,1076,1592327ad5b857367bd7df67c6ef7ec89921ce103b752aece618533438a38f9f,sha256:1592327ad5b857367bd7df67c6ef7ec89921ce103b752aece618533438a38f9f
