artifact,path,size_bytes,published_digest,local_digest,verification,accepted
published source,results/13_cryptographic_verification/artifacts/published-model.bin,65600,27c68b6302e70688a8f2deebc3d355b3695adcaf2b53f208739ebf8f7daca26c,27c68b6302e70688a8f2deebc3d355b3695adcaf2b53f208739ebf8f7daca26c,PASS,True
received good copy,results/13_cryptographic_verification/received/received-good.bin,65600,27c68b6302e70688a8f2deebc3d355b3695adcaf2b53f208739ebf8f7daca26c,27c68b6302e70688a8f2deebc3d355b3695adcaf2b53f208739ebf8f7daca26c,PASS,True
received changed copy,results/13_cryptographic_verification/received/received-changed.bin,65600,27c68b6302e70688a8f2deebc3d355b3695adcaf2b53f208739ebf8f7daca26c,eddabafe2e15603b1a4793b234b3a54926bb38d255d4c0e10388764b62817822,FAIL,False
