chunk_index,offset_start,offset_end,size_bytes,path,sha256,content_id
0,0,2048,2048,results/43_integrated_pipeline/chunks/chunk_0000.bin,8cb17250178b2b622dfcc91f71a5c0ccffe56f4281e3af85ff0df9acbfbad723,sha256:8cb17250178b2b622dfcc91f71a5c0ccffe56f4281e3af85ff0df9acbfbad723
1,2048,4096,2048,results/43_integrated_pipeline/chunks/chunk_0001.bin,56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc
2,4096,6144,2048,results/43_integrated_pipeline/chunks/chunk_0002.bin,56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc
3,6144,8192,2048,results/43_integrated_pipeline/chunks/chunk_0003.bin,56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc
4,8192,10240,2048,results/43_integrated_pipeline/chunks/chunk_0004.bin,56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc
5,10240,12288,2048,results/43_integrated_pipeline/chunks/chunk_0005.bin,56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc
6,12288,14336,2048,results/43_integrated_pipeline/chunks/chunk_0006.bin,56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc
7,14336,16384,2048,results/43_integrated_pipeline/chunks/chunk_0007.bin,56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc,sha256:56838997a88d913cba697cd91a69a9ed1bd1f131d1f7d74894e9249ed35ea4bc
8,16384,16537,153,results/43_integrated_pipeline/chunks/chunk_0008.bin,dc1074db93141f8e17c2bc2b37faedbdcecc6430d99e6ce30a6b58082a471ee2,sha256:dc1074db93141f8e17c2bc2b37faedbdcecc6430d99e6ce30a6b58082a471ee2
